"tumbol_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"620452",1952,3452,937,725,960,8,4,7.99590163934426,3,3,379,3452,3452,3297,3402,3452,3452,3452,3452,3452,3452,3452,151,349,0,0,2910,2892,1696,3452,3452,3452,3452,3452,1696,24,11,3452,3452,0,0,0,3,2,20,0,2,1,1,10,3,6,7,0,53,0,0,0,3,24,0,86,48,63,1,0,0,0,1,1,"62"
"620501",2777,7506,1995,1675,1785,256,712,7.64169967590925,139,120,2889,7506,7506,7168,7398,7506,7506,7506,7506,7506,7506,7506,835,2601,138,71,6729,6620,3875,7506,7503,7506,7506,7506,3923,749,1593,7506,7503,0,0,0,0,0,723,0,5,0,0,0,927,0,0,0,0,0,0,17,3,0,18,0,1071,1032,0,0,0,0,0,0,"62"
"620502",1539,4623,1320,1026,1003,87,185,7.85964912280702,39,33,1769,4623,4623,4487,4608,4623,4623,4623,4623,4623,4623,4623,557,1554,0,6,4310,4257,2579,4623,4623,4623,4623,4623,2587,278,571,4623,4623,0,0,0,0,0,1161,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,800,0,0,0,0,0,0,"62"
"620504",1183,3251,939,753,730,87,198,7.63905325443787,21,17,1209,3251,3251,3105,3250,3251,3251,3251,3251,3251,3251,3251,415,1101,19,0,2976,2921,1616,3251,3250,3251,3251,3251,1620,279,535,3251,3251,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,493,0,0,0,0,0,0,"62"
"620505",910,2600,770,552,653,89,213,8.14615384615385,64,36,990,2600,2600,2524,2441,2600,2600,2600,2600,2600,2600,2600,261,872,35,9,2354,2323,1476,2600,2591,2600,2600,2600,1488,273,550,2600,2600,0,0,0,0,0,834,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,343,0,0,0,0,0,0,"62"
"620506",1292,4014,1284,1072,757,128,362,8.18808049535604,57,18,1787,4014,4014,3846,4000,4014,4014,4014,4014,4014,4014,4014,558,1670,36,0,3769,3732,1943,4014,4014,4014,4014,4014,1958,429,986,4014,4014,0,0,0,0,0,3085,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,879,585,0,0,0,0,0,0,"62"
"620507",2320,7057,2055,1638,1225,130,276,7.46293103448276,89,35,3096,7057,7057,6748,6959,7057,7057,7057,7050,7057,7057,7057,943,2858,179,18,6693,6649,3221,7057,7041,7057,7057,7057,3247,449,772,7057,7057,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611,2392,0,0,0,0,0,0,"62"
"620508",1197,3439,1027,840,720,107,133,7.67167919799499,54,34,1443,3439,3439,3309,3439,3439,3439,3439,3439,3439,3439,3439,410,1303,20,4,3107,3026,1637,3439,3439,3439,3439,3439,1648,306,353,3439,3439,0,0,0,0,0,2296,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,633,643,0,0,0,0,0,0,"62"
"620509",2509,6913,2707,2276,1459,189,442,9.01713830211239,106,64,2929,6913,6913,6609,6754,6913,6913,6913,6913,6913,6913,6913,938,2614,50,39,6206,6134,3102,6913,6893,6913,6913,6913,3109,541,1060,6913,6913,0,0,0,0,0,1483,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,2373,2044,0,0,0,0,0,0,"62"
"620513",1581,4693,1283,1067,967,100,341,8.5022137887413,76,63,2076,4693,4693,4582,4593,4693,4693,4693,4693,4693,4693,4693,687,2043,45,16,4332,4278,2294,4693,4690,4684,4684,4684,2306,333,927,4684,4684,0,0,0,0,0,1699,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1179,1046,0,6,2,6,0,0,"62"
