"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
21,1538,4273,709,601,0,601,0,0,0,0.17029548107765,0,0,0,39,63,213,16,30,46,107,493,15,136,3,0,32,0,0,23,45,96,5,164,211,227,37,0,0,0,10,26
22,2727,8092,1396,1225,0,1225,0,0,0,0.442043576475343,0,3,0,145,205,314,71,131,70,80,1107,118,295,6,2,78,0,0,74,114,144,27,427,467,495,78,5,0,3,70,85
23,311,888,210,192,0,192,0,0,0,0.155770822177871,0,0,0,1,6,9,7,75,5,3,119,4,10,0,3,10,1,0,2,21,11,1,60,36,64,32,3,3,0,3,11
24,1895,6263,1108,958,0,958,0,0,0,0.220949112513377,0,1,0,240,183,167,56,110,54,37,846,152,282,1,3,15,2,0,23,97,196,27,234,252,398,54,2,2,0,22,39
25,2884,8918,1964,1571,0,1571,0,0,0,0.476365191076719,0,0,0,218,214,133,24,182,36,56,1427,133,188,46,0,87,1,0,14,59,99,8,545,467,415,41,0,1,0,40,97
26,935,2864,609,483,0,483,0,0,0,0.289556193684917,0,0,0,7,139,29,12,64,4,2,443,26,19,4,0,18,0,0,9,18,39,5,205,103,124,21,0,0,0,20,6
27,1695,4854,1289,1118,0,1118,0,0,0,0.336693238729962,0,1,0,63,116,44,113,66,15,19,1051,37,238,3,2,5,4,0,25,53,105,1,188,355,404,44,2,0,0,7,24
30,9796,30808,9353,7620,0,7620,0,0,0,0.444378869726427,0,17,3,895,853,1482,170,351,63,94,7337,593,1042,25,13,445,6,1,215,536,712,63,1528,2966,3185,393,4,13,1,180,386
31,7867,27688,8668,7191,0,7191,0,0,0,0.682423166895217,3,6,0,531,1009,873,140,408,325,226,6763,303,1072,30,2,514,15,0,244,533,603,67,1138,3054,3224,495,12,2,1,91,472
32,3040,10461,3928,3217,0,3217,0,0,0,0.364459479515157,0,0,0,418,644,452,48,387,181,111,2874,148,538,4,7,123,4,0,104,301,281,147,504,1345,1304,96,5,0,0,14,230
