"village_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"3408040701",173,587,215,189,74,6,22,10,0,0,274,587,587,561,584,587,587,587,587,587,587,587,75,264,0,0,569,561,227,587,587,587,587,587,227,24,76,587,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408040801",139,536,127,121,87,12,6,9.97841726618705,0,0,247,536,536,526,536,536,536,536,536,536,536,536,47,229,0,0,518,510,244,536,536,536,536,536,250,50,25,536,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408040901",174,473,196,188,91,0,0,9.98850574712644,0,0,27,473,473,467,362,473,473,473,473,473,473,473,5,36,0,0,437,434,176,473,473,473,473,473,176,0,0,473,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408041001",124,410,147,140,50,6,2,9.76612903225806,0,0,194,410,410,394,385,410,410,410,410,410,410,410,30,227,0,0,397,392,150,410,410,410,410,410,150,27,7,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408041101",129,460,154,146,60,0,0,10,0,0,218,460,460,446,460,460,460,460,460,460,460,460,81,218,0,0,454,454,210,460,452,460,460,460,210,0,0,460,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"34"
"3408041201",112,445,161,150,67,0,0,9.99107142857143,0,0,230,445,445,441,342,445,445,445,445,445,445,445,75,215,0,0,438,438,230,445,445,445,445,445,230,0,0,445,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408041301",138,486,183,167,75,0,0,9.41304347826087,0,0,60,486,486,477,226,486,486,486,486,486,486,486,9,89,0,0,479,479,205,486,486,486,486,486,205,0,0,486,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408041401",134,522,219,198,75,4,0,10,0,0,231,522,522,508,522,522,522,522,522,522,522,522,55,224,0,0,507,504,258,522,522,522,522,522,258,18,0,522,522,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408041501",119,314,113,108,60,0,0,10,0,0,26,314,314,306,314,314,314,314,314,314,314,314,4,31,0,0,289,289,118,314,314,314,314,314,118,0,0,314,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408041601",146,432,172,161,85,9,1,9.98630136986301,0,0,213,432,432,420,432,432,432,432,432,432,432,432,34,226,0,0,402,391,204,432,432,432,432,432,204,40,4,432,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408041701",119,406,157,139,67,0,0,10,0,0,154,406,406,399,404,406,406,406,406,406,406,406,33,166,0,0,392,388,183,406,406,406,406,406,183,0,0,406,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408050101",189,770,257,225,71,14,23,8.08994708994709,28,11,502,770,770,757,770,770,770,770,770,770,770,770,137,426,18,0,764,764,288,770,770,770,770,770,290,53,95,770,770,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408050201",136,520,167,150,72,1,2,8.05882352941176,0,0,198,520,520,512,520,520,520,520,520,520,520,520,87,206,0,0,507,503,213,520,520,520,520,520,213,3,14,520,520,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,0,0,0,0,0,0,0,218,158,0,0,0,0,0,0,"34"
"3408050301",155,595,234,217,90,2,1,8.00645161290323,0,0,349,595,595,582,595,595,595,595,595,595,595,595,124,296,0,0,571,566,262,595,595,595,595,595,262,8,3,595,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,10,0,0,0,0,0,6,"34"
